Date,LSTM_Forecast
2023-12-30,196.46475
2023-12-31,196.44162
2024-01-01,196.55096
2024-01-02,196.75601
2024-01-03,197.02985
2024-01-04,197.35217
2024-01-05,197.70795
2024-01-06,198.08627
2024-01-07,198.47928
2024-01-08,198.8816
2024-01-09,199.28929
2024-01-10,199.69975
2024-01-11,200.1113
2024-01-12,200.52267
2024-01-13,200.9331
2024-01-14,201.3421
2024-01-15,201.7494
2024-01-16,202.15472
2024-01-17,202.55792
2024-01-18,202.95895
2024-01-19,203.35774
2024-01-20,203.75423
2024-01-21,204.14842
2024-01-22,204.54031
2024-01-23,204.9298
2024-01-24,205.317
2024-01-25,205.70172
2024-01-26,206.08408
2024-01-27,206.46397
2024-01-28,206.84143
